agent,task,HIR_mean,CFR_mean,TSR_mean,AGAR_mean,DSM_mean,HIR_std,CFR_std,TSR_std,AGAR_std,DSM_std,n_trials
OpenHands,issue_003,0.0,0.0,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
OpenHands,issue_004,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
OpenHands,issue_005,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
OpenHands,issue_006,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
OpenHands,issue_007,0.333,0.0,0.333,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
OpenHands,issue_008,0.667,0.5,0.333,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
OpenHands,issue_009,0.333,0.0,0.333,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
OpenHands,issue_010,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
OpenHands,issue_011,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
OpenHands,issue_012,0.667,0.0,0.333,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
OpenHands,issue_013,0.0,1.0,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
OpenHands,issue_014,0.333,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
OpenHands,issue_015,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,django__django-10914,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,django__django-10924,0.667,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,django__django-11001,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,django__django-11039,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,django__django-11049,0.667,0.0,0.667,0.0,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,django__django-11179,0.667,1.0,0.333,0.0,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,django__django-11999,0.333,0.5,0.667,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,django__django-12470,0.667,0.0,0.333,0.0,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,django__django-12983,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,django__django-13230,0.333,0.0,0.667,1.0,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,issue_001,0.667,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,issue_002,0.333,0.333,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,issue_003,0.0,0.667,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,issue_004,0.333,0.5,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,issue_005,0.0,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,issue_006,0.333,0.0,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,issue_007,0.333,0.333,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,issue_008,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,issue_009,0.333,0.0,0.333,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,issue_010,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,issue_011,0.0,0.333,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,issue_012,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,issue_013,0.333,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,issue_014,0.333,0.0,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,issue_015,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,matplotlib__matplotlib-18869,0.333,0.0,0.667,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,matplotlib__matplotlib-22711,0.333,0.0,0.667,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,matplotlib__matplotlib-22835,0.667,0.0,0.667,1.0,0.667,0.0,0.0,0.471,0.0,0.0,3
SWE-Agent,matplotlib__matplotlib-23299,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
SWE-Agent,matplotlib__matplotlib-23314,0.333,0.0,0.667,1.0,0.667,0.0,0.0,0.471,0.0,0.0,3
